sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
A10	410193	328976	80.2	328603	7929	1.93	7929	1.93
A11	410960	339545	82.62	339186	938	0.23	936	0.23
A12	396582	304990	76.9	304578	268	0.07	267	0.07
A6	654127	525773	80.38	525274	1946	0.3	1946	0.3
A7	485232	323565	66.68	323236	61732	12.72	61499	12.67
A8	529730	423300	79.91	422986	8410	1.59	8405	1.59
A9	647978	529515	81.72	529269	1032	0.16	1028	0.16
daiquiriA1	379514	273498	72.07	273075	1234	0.33	1234	0.33
daiquiriA2	139682	82899	59.35	82724	3889	2.78	3888	2.78
daiquiriA3	1262168	918627	72.78	917816	10991	0.87	10986	0.87
daiquiriA4	103584	72709	70.19	72510	3079	2.97	3079	2.97
daiquiriA5	98439	77531	78.76	77393	4029	4.09	4029	4.09
